title,year,language,episode_season_duration,genre,creators,stars,official_sites,links,description,votes,rating,trailer
Fear the Walking Dead,2015– ,English,44min,"Drama,Horror,Sci-Fi,Thriller","Dave Erickson,Robert Kirkman","Kim Dickens,Frank Dillane,Cliff Curtis","Official Facebook,Official Site","https://www.facebook.com/FearTWD,http://www.amctv.com/shows/fear-the-walking-dead","A Walking Dead spinoff set in Los Angeles, California. Follows two families who must band together to survive the undead apocalypse.",116000,6.9,https://imdb.com/video/vi2474294809?playlistId=tt3743822&ref_=tt_ov_vi
Bosch,2014– ,English,51min,"Crime,Drama",Eric Ellis Overmyer,"Titus Welliver,Jamie Hector,Amy Aquino",,,An L.A.P.D. homicide detective works to solve the murder of a thirteen-year-old boy while standing trial in federal court for the murder of a serial killer.,49000,8.4,https://imdb.com/video/vi3258368025?playlistId=tt3502248&ref_=tt_ov_vi
The Umbrella Academy,2019– ,English,1h,"Action,Adventure,Comedy,Drama,Fantasy,Sci-Fi","Steve Blackman,Jeremy Slater","Elliot Page,Tom Hopper,David Castañeda","Official Facebook,Official Netflix","https://www.facebook.com/NetflixUmbrellaAcademy,https://www.netflix.com/title/80186863","A family of former child heroes, now grown apart, must reunite to continue to protect the world.",171000,8.0,https://imdb.com/video/vi772128281?playlistId=tt1312171&ref_=tt_ov_vi
The Last Hour,2021– ,,36min,"Crime,Drama,Mystery,Thriller","Amit Kumar,Anupama Minz","Sanjay Kapoor,Karma Takapa,Shaylee Krishen",prime video,https://www.primevideo.com/,"A mysterious young shaman, on the run protecting a secret gift, joins hands with a seasoned city cop to hunt down a dangerous figure from his dark past. But when he falls for the cop's young daughter, he is torn between duty and love.",4900,7.6,https://imdb.com/video/vi4259233817?playlistId=tt9805612&ref_=tt_ov_vi
Miraculous: Tales of Ladybug & Cat Noir,2015– ,"Urdu,Hindi,Spanish,French,Korean,English",20min,"Animation,Action,Adventure,Family,Fantasy,Romance","Cristina Valenzuela,Bryce Papenbrook,Keith Silverstein",,"DisneyNOW,The official site for the series.","https://disneynow.go.com/shows/miraculous-tales-of-ladybug-cat-noir,http://www.miraculousladybug.com/","Marinette and Adrien, two normal teens, transform into superheroes Ladybug and Cat Noir when an evil threatens their city.",7600,7.7,https://imdb.com/video/vi2677521689?playlistId=tt2580046&ref_=tt_ov_vi
Castle,2009–2016,English,43min,"Comedy,Crime,Drama,Mystery,Romance",Andrew W. Marlowe,"Nathan Fillion,Stana Katic,Susan Sullivan","ABC (United States),Official Facebook","http://abc.go.com/primetime/castle/index?pn=index,https://www.facebook.com/#!/Castle?fref=ts","After a serial killer imitates the plots of his novels, successful mystery novelist Richard ""Rick"" Castle receives permission from the Mayor of New York City to tag along with an NYPD homicide investigation team for research purposes.",143000,8.1,https://imdb.com/video/vi3651252761?playlistId=tt1219024&ref_=tt_ov_vi
Blossom,1990–1995,English,30min,"Comedy,Drama,Family",Don Reo,"Mayim Bialik,Jenna von Oÿ,Joey Lawrence",,,A teenage girl living in a house run by men dreams what life would be like if she lived in a more conventional family.,7200,6.0,https://imdb.com/video/vi3059483161?playlistId=tt0101050&ref_=tt_ov_vi
Condor,2018– ,English,1h,"Action,Drama,Thriller","Todd Katzberg,Ken Robinson,Jason Smilovic","Max Irons,Kristen Hager,Bob Balaban",,,"A brilliant, young, idealistic CIA analyst finds himself in the middle of a conspiracy that kills everyone else at his office. Can he, with no field experience, stay alive long enough to get to the bottom of it?",12000,7.7,https://imdb.com/video/vi150256409?playlistId=tt6510950&ref_=tt_ov_vi
Murdoch Mysteries,2008– ,English,48min,"Crime,Drama,Mystery","Maureen Jennings,Cal Coons,Alexandra Zarowny","Yannick Bisson,Helene Joy,Thomas Craig","Alibi,CBC (Canada)","http://uktv.co.uk/alibi/homepage/sid/7085,https://www.cbc.ca/murdochmysteries/m/","In the 1890s, William Murdoch uses radical forensic techniques for the time, including fingerprinting and trace evidence, to solve some of the city's most gruesome murders.",11000,8.1,https://imdb.com/video/vi2131996697?playlistId=tt1091909&ref_=tt_ov_vi
The Promised Neverland,2019–2021,Japanese,23min,"Animation,Adventure,Drama,Fantasy,Horror,Mystery,Sci-Fi,Thriller","Sumire Morohoshi,Mariya Ise,Shinei Ueki",,Official site (Japan),https://neverland-anime.com/,"When three gifted kids at an isolated idyllic orphanage discover the secret and sinister purpose they were raised for, they look for a way to escape from their evil caretaker and lead the other children in a risky escape plan.",27000,8.5,https://imdb.com/video/vi4156080409?playlistId=tt8788458&ref_=tt_ov_vi
