,index,title,year,language,episode_season_duration,genre,creators,stars,description,rating,trailer,weighted_rating,nameurls,soup
0,0,Fear the Walking Dead,2015– ,English,44min,"Drama,Horror,Sci-Fi,Thriller","Dave Erickson,Robert Kirkman","Kim Dickens,Frank Dillane,Cliff Curtis","A Walking Dead spinoff set in Los Angeles, California. Follows two families who must band together to survive the undead apocalypse.",6.9,https://imdb.com/video/vi2474294809?playlistId=tt3743822&ref_=tt_ov_vi,6.899296785666103,"<a href=""https://www.facebook.com/FearTWD"">Official Facebook</a>, <a href=""http://www.amctv.com/shows/fear-the-walking-dead"">Official Site</a>",california los angeles must band together follows two families undead apocalypse walking dead spinoff set survive fear walking dead english daveerickson robertkirkman kimdickens frankdillane cliffcurtis drama horror sci-fi thriller
1,1,Bosch,2014– ,English,51min,"Crime,Drama",Eric Ellis Overmyer,"Titus Welliver,Jamie Hector,Amy Aquino",An L.A.P.D. homicide detective works to solve the murder of a thirteen-year-old boy while standing trial in federal court for the murder of a serial killer.,8.4,https://imdb.com/video/vi3258368025?playlistId=tt3502248&ref_=tt_ov_vi,8.359592702954952,,year old boy thirteen homicide detective works l federal court murder standing trial solve p serial killer bosch english ericellisovermyer tituswelliver jamiehector amyaquino crime drama
2,2,The Umbrella Academy,2019– ,English,1h,"Action,Adventure,Comedy,Drama,Fantasy,Sci-Fi","Steve Blackman,Jeremy Slater","Elliot Page,Tom Hopper,David Castañeda","A family of former child heroes, now grown apart, must reunite to continue to protect the world.",8.0,https://imdb.com/video/vi772128281?playlistId=tt1312171&ref_=tt_ov_vi,7.991221781535891,"<a href=""https://www.facebook.com/NetflixUmbrellaAcademy"">Official Facebook</a>, <a href=""https://www.netflix.com/title/80186863"">Official Netflix</a>",protect grown apart former child heroes continue family must reunite world umbrella academy english steveblackman jeremyslater elliotpage tomhopper davidcastañeda action adventure comedy drama fantasy sci-fi
3,3,The Last Hour,2021– ,,36min,"Crime,Drama,Mystery,Thriller","Amit Kumar,Anupama Minz","Sanjay Kapoor,Karma Takapa,Shaylee Krishen","A mysterious young shaman, on the run protecting a secret gift, joins hands with a seasoned city cop to hunt down a dangerous figure from his dark past. But when he falls for the cop's young daughter, he is torn between duty and love.",7.6,https://imdb.com/video/vi4259233817?playlistId=tt9805612&ref_=tt_ov_vi,7.439921444940968,"<a href=""https://www.primevideo.com/"">prime video</a>",seasoned city cop duty joins hands dangerous figure torn secret gift run protecting mysterious young shaman dark past love falls daughter hunt last hour na amitkumar anupamaminz sanjaykapoor karmatakapa shayleekrishen crime drama mystery thriller
4,4,Miraculous: Tales of Ladybug & Cat Noir,2015– ,"Urdu,Hindi,Spanish,French,Korean,English",20min,"Animation,Action,Adventure,Family,Fantasy,Romance","Cristina Valenzuela,Bryce Papenbrook,Keith Silverstein",,"Marinette and Adrien, two normal teens, transform into superheroes Ladybug and Cat Noir when an evil threatens their city.",7.7,https://imdb.com/video/vi2677521689?playlistId=tt2580046&ref_=tt_ov_vi,7.573877860520675,"<a href=""https://disneynow.go.com/shows/miraculous-tales-of-ladybug-cat-noir"">DisneyNOW</a>, <a href=""http://www.miraculousladybug.com/"">The official site for the series.</a>",adrien cat noir two normal teens evil threatens city transform marinette superheroes ladybug miraculous tales ladybug cat noir urdu hindi spanish french korean english cristinavalenzuela brycepapenbrook keithsilverstein na animation action adventure family fantasy romance
5,5,Castle,2009–2016,English,43min,"Comedy,Crime,Drama,Mystery,Romance",Andrew W. Marlowe,"Nathan Fillion,Stana Katic,Susan Sullivan","After a serial killer imitates the plots of his novels, successful mystery novelist Richard ""Rick"" Castle receives permission from the Mayor of New York City to tag along with an NYPD homicide investigation team for research purposes.",8.1,https://imdb.com/video/vi3651252761?playlistId=tt1219024&ref_=tt_ov_vi,8.088617553420887,"<a href=""http://abc.go.com/primetime/castle/index?pn=index"">ABC (United States)</a>, <a href=""https://www.facebook.com/#!/Castle?fref=ts"">Official Facebook</a>",mayor novels plots successful mystery novelist richard castle receives permission tag along new york city research purposes nypd homicide investigation team serial killer imitates rick castle english andreww.marlowe nathanfillion stanakatic susansullivan comedy crime drama mystery romance
6,6,Blossom,1990–1995,English,30min,"Comedy,Drama,Family",Don Reo,"Mayim Bialik,Jenna von Oÿ,Joey Lawrence",A teenage girl living in a house run by men dreams what life would be like if she lived in a more conventional family.,6.0,https://imdb.com/video/vi3059483161?playlistId=tt0101050&ref_=tt_ov_vi,6.127942701015765,,men dreams lived like conventional family teenage girl living life would house run blossom english donreo mayimbialik jennavonoÿ joeylawrence comedy drama family
7,7,Condor,2018– ,English,1h,"Action,Drama,Thriller","Todd Katzberg,Ken Robinson,Jason Smilovic","Max Irons,Kristen Hager,Bob Balaban","A brilliant, young, idealistic CIA analyst finds himself in the middle of a conspiracy that kills everyone else at his office. Can he, with no field experience, stay alive long enough to get to the bottom of it?",7.7,https://imdb.com/video/vi150256409?playlistId=tt6510950&ref_=tt_ov_vi,7.615602478092782,,middle young idealistic cia analyst finds bottom field experience kills everyone else get conspiracy office stay alive long enough brilliant condor english toddkatzberg kenrobinson jasonsmilovic maxirons kristenhager bobbalaban action drama thriller
8,8,Murdoch Mysteries,2008– ,English,48min,"Crime,Drama,Mystery","Maureen Jennings,Cal Coons,Alexandra Zarowny","Yannick Bisson,Helene Joy,Thomas Craig","In the 1890s, William Murdoch uses radical forensic techniques for the time, including fingerprinting and trace evidence, to solve some of the city's most gruesome murders.",8.1,https://imdb.com/video/vi2131996697?playlistId=tt1091909&ref_=tt_ov_vi,7.966464468181626,"<a href=""http://uktv.co.uk/alibi/homepage/sid/7085"">Alibi</a>, <a href=""https://www.cbc.ca/murdochmysteries/m/"">CBC (Canada)</a>",including fingerprinting trace evidence solve city gruesome murders time 1890s william murdoch uses radical forensic techniques murdoch mysteries english maureenjennings calcoons alexandrazarowny yannickbisson helenejoy thomascraig crime drama mystery
9,9,The Promised Neverland,2019–2021,Japanese,23min,"Animation,Adventure,Drama,Fantasy,Horror,Mystery,Sci-Fi,Thriller","Sumire Morohoshi,Mariya Ise,Shinei Ueki",,"When three gifted kids at an isolated idyllic orphanage discover the secret and sinister purpose they were raised for, they look for a way to escape from their evil caretaker and lead the other children in a risky escape plan.",8.5,https://imdb.com/video/vi4156080409?playlistId=tt8788458&ref_=tt_ov_vi,8.423587030340425,"<a href=""https://neverland-anime.com/"">Official site (Japan)</a>",evil caretaker way secret risky escape plan children look lead three gifted kids raised isolated idyllic orphanage discover sinister purpose promised neverland japanese sumiremorohoshi mariyaise shineiueki na animation adventure drama fantasy horror mystery sci-fi thriller
