index,title,soup
0,Fear the Walking Dead,survive follows two families must band together los angeles walking dead spinoff set undead apocalypse california fear walking dead english daveerickson robertkirkman kimdickens frankdillane cliffcurtis drama horror sci-fi thriller
1,Bosch,thirteen serial killer old boy homicide detective works standing trial year p federal court solve l murder bosch english ericellisovermyer tituswelliver jamiehector amyaquino crime drama
2,The Umbrella Academy,must reunite grown apart protect world family former child heroes continue umbrella academy english steveblackman jeremyslater elliotpage tomhopper davidcastañeda action adventure comedy drama fantasy sci-fi
3,The Last Hour,run protecting dangerous figure joins hands torn love young daughter secret gift dark past hunt falls seasoned city cop mysterious shaman duty last hour na amitkumar anupamaminz sanjaykapoor karmatakapa shayleekrishen crime drama mystery thriller
4,Miraculous: Tales of Ladybug & Cat Noir,superheroes ladybug evil threatens city marinette cat noir two normal teens transform adrien miraculous tales ladybug cat noir urdu hindi spanish french korean english cristinavalenzuela brycepapenbrook keithsilverstein na animation action adventure family fantasy romance
5,Castle,novels rick castle receives permission serial killer imitates mayor tag along plots successful mystery novelist richard nypd homicide investigation team research purposes new york city castle english andreww.marlowe nathanfillion stanakatic susansullivan comedy crime drama mystery romance
6,Blossom,life would conventional family men dreams house run teenage girl living lived like blossom english donreo mayimbialik jennavonoÿ joeylawrence comedy drama family
7,Condor,bottom get stay alive long enough office brilliant middle young kills everyone else field experience idealistic cia analyst finds conspiracy condor english toddkatzberg kenrobinson jasonsmilovic maxirons kristenhager bobbalaban action drama thriller
8,Murdoch Mysteries,trace evidence time gruesome murders 1890s city william murdoch uses radical forensic techniques solve including fingerprinting murdoch mysteries english maureenjennings calcoons alexandrazarowny yannickbisson helenejoy thomascraig crime drama mystery
9,The Promised Neverland,isolated idyllic orphanage discover children sinister purpose risky escape plan secret lead look raised evil caretaker three gifted kids way promised neverland japanese sumiremorohoshi mariyaise shineiueki na animation adventure drama fantasy horror mystery sci-fi thriller
10,Pennyworth,origin story former special father work came bruce wayne london forces soldier living alfred pennyworth pennyworth english brunoheller jackbannon benaldridge ryanfletcher action crime drama
11,Search Party,four self search party somethings ominous mystery dark comedy become entangled absorbed twenty former college acquaintance suddenly disappears search party english sarah-violetbliss charlesrogers michaelshowalter aliashawkat johnreynolds johnearly comedy crime drama mystery romance thriller
12,Colony,stay together new world order mysterious alien invasion family fights wake colony english ryanj.condal carltoncuse joshholloway sarahwaynecallies peterjacobson action adventure drama sci-fi
13,Locke & Key,connected mother move death father may keyhouse murdered full three locke siblings discover mysterious circumstances ancestral home magical keys locke key english meredithaverill aronelicoleite carltoncuse darbystanchfield connorjessup emiliajones drama fantasy horror mystery thriller
14,Bunk'd,challenging new lives ravi maine emma trio tries fears camp kikiwaka love triangle exciting zuri ross head along friends parents met rustic summer teens best settle bunk english pamelaeells mirandamay malloryjamesmahoney raphaelalejandro comedy family
15,Glitch,unveil six people return first place attempt memory dead brought grave glitch english italian tonyayres louisefox patrickbrammall emmabooth seankeenan drama sci-fi
16,Peep Show,normal mayhem ensues mark pair strive day life except lives jez nothing anything common something roommates fact couple cope twenty peep show english jessearmstrong sambain andrewo'connor davidmitchell robertwebb mattking comedy
